study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
OSD-426,Space biology research study on Homo sapiens - OSD-426,2023,Space Shuttle,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1058/example.osd-426,https://osdr.nasa.gov/bio/repo/data/studies/OSD-426,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-427,Space biology research study on Rattus norvegicus - OSD-427,2024,,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-427,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-473,Space biology research study on Mus musculus - OSD-473,2015,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1060/example.osd-473,https://osdr.nasa.gov/bio/repo/data/studies/OSD-473,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-474,Space biology research study on Arabidopsis thaliana - OSD-474,2016,ISS Expedition 50,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-474,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-475,Space biology research study on Drosophila melanogaster - OSD-475,2017,ISS Expedition 60,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1062/example.osd-475,https://osdr.nasa.gov/bio/repo/data/studies/OSD-475,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-630,Space biology research study on Caenorhabditis elegans - OSD-630,2018,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-630,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-631,Space biology research study on Homo sapiens - OSD-631,2019,,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1064/example.osd-631,https://osdr.nasa.gov/bio/repo/data/studies/OSD-631,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-632,Space biology research study on Rattus norvegicus - OSD-632,2020,ISS,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-632,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-665,Space biology research study on Mus musculus - OSD-665,2021,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1066/example.osd-665,https://osdr.nasa.gov/bio/repo/data/studies/OSD-665,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-666,Space biology research study on Arabidopsis thaliana - OSD-666,2022,ISS Expedition 60,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-666,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-667,Space biology research study on Drosophila melanogaster - OSD-667,2023,Space Shuttle,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1068/example.osd-667,https://osdr.nasa.gov/bio/repo/data/studies/OSD-667,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-1,Space biology research study on Caenorhabditis elegans - GLDS-1,2024,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-1,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-2,Space biology research study on Homo sapiens - GLDS-2,2015,ISS,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1070/example.glds-2,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-2,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-3,Space biology research study on Rattus norvegicus - GLDS-3,2016,ISS Expedition 50,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-3,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-4,Space biology research study on Mus musculus - GLDS-4,2017,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1072/example.glds-4,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-4,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-5,Space biology research study on Arabidopsis thaliana - GLDS-5,2018,Space Shuttle,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-5,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-6,Space biology research study on Drosophila melanogaster - GLDS-6,2019,,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1074/example.glds-6,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-6,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-7,Space biology research study on Caenorhabditis elegans - GLDS-7,2020,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-7,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-8,Space biology research study on Homo sapiens - GLDS-8,2021,ISS Expedition 50,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1076/example.glds-8,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-8,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
